word,starting_letter,category_en,category_geo
ალ მასმია,ა,City,ქალაქი
ალ მოჰარრაქი,ა,City,ქალაქი
ალ მუსეიფირა,ა,City,ქალაქი
ალ მუჰასანი,ა,City,ქალაქი
ალ სური,ა,City,ქალაქი
ალ ფახურა,ა,City,ქალაქი
ალ ფუჯაირა,ა,City,ქალაქი
ალ ქასრა,ა,City,ქალაქი
ალ შაჯარა,ა,City,ქალაქი
ალ შეიხ მასქინი,ა,City,ქალაქი
ალ შიჰრი,ა,City,ქალაქი
ალ ჯალა,ა,City,ქალაქი
ალ ჯიზა,ა,City,ქალაქი
ალ ჰადდ,ა,City,ქალაქი
ალ ჰირაქი,ა,City,ქალაქი
ალ-`ალია,ა,City,ქალაქი
ალ-`აქურია,ა,City,ქალაქი
ალ-აბიარი,ა,City,ქალაქი
ალ-აზიზია,ა,City,ქალაქი
ალ-აინი,ა,City,ქალაქი
ალ-ამარა,ა,City,ქალაქი
ალ-აქაბა,ა,City,ქალაქი
ალ-აშარა,ა,City,ქალაქი
ალ-ბაკალიტა,ა,City,ქალაქი
ალ-ბასრა,ა,City,ქალაქი
ალ-ბასრა ალ-ყადიმა,ა,City,ქალაქი
ალ-ბაუგა,ა,City,ქალაქი
ალ-ბაჰა,ა,City,ქალაქი
ალ-ბაჰლულია,ა,City,ქალაქი
ალ-ბუნაიათ აშ-შამალია,ა,City,ქალაქი
ალ-ბურაიმი,ა,City,ქალაქი
ალ-ბურაიქა,ა,City,ქალაქი
ალ-ბუსეირა,ა,City,ქალაქი
ალ-დალია,ა,City,ქალაქი
ალ-დივანია,ა,City,ქალაქი
ალ-ვაკრა,ა,City,ქალაქი
ალ-ვარდანი,ა,City,ქალაქი
ალ-ვაფრა,ა,City,ქალაქი
ალ-ვუკაირი,ა,City,ქალაქი
ალ-ზუბაირი,ა,City,ქალაქი
ალ-თაბნი,ა,City,ქალაქი
ალ-თიფლისი,ა,City,ქალაქი
ალ-კავა,ა,City,ქალაქი
ალ-კარამა,ა,City,ქალაქი
ალ-კარიბი,ა,City,ქალაქი
ალ-კარმადა,ა,City,ქალაქი
ალ-კერეიმეტი,ა,City,ქალაქი
ალ-კიტა,ა,City,ქალაქი
ალ-კუტეილიბია,ა,City,ქალაქი
ალ-კუტი,ა,City,ქალაქი
ალ-ლაგოვა,ა,City,ქალაქი
ალ-მაზარი,ა,City,ქალაქი
ალ-მანაკილი,ა,City,ქალაქი
ალ-მანქაფი,ა,City,ქალაქი
ალ-მარჯი,ა,City,ქალაქი
ალ-მასმია,ა,City,ქალაქი
ალ-მაუსილ ალ-ჯადიდი,ა,City,ქალაქი
ალ-მაფრაკი,ა,City,ქალაქი
ალ-მაჯარ ალ-ქაბირი,ა,City,ქალაქი
ალ-მაჰბულა,ა,City,ქალაქი
ალ-მეტლაუი,ა,City,ქალაქი
ალ-მიყდადია,ა,City,ქალაქი
ალ-მიშხაბი,ა,City,ქალაქი
ალ-მიჯლადი,ა,City,ქალაქი
ალ-მუკალა,ა,City,ქალაქი
ალ-მუსაიიბი,ა,City,ქალაქი
ალ-მუსალამია,ა,City,ქალაქი
ალ-მუსეიფირა,ა,City,ქალაქი
ალ-მუჰასანი,ა,City,ქალაქი
ალ-სური,ა,City,ქალაქი
ალ-უბაიიდი,ა,City,ქალაქი
ალ-ფავი,ა,City,ქალაქი
ალ-ფალუჯა,ა,City,ქალაქი
ალ-ფარვანია,ა,City,ქალაქი
ალ-ფაშირი,ა,City,ქალაქი
ალ-ფახურა,ა,City,ქალაქი
ალ-ფინტასი,ა,City,ქალაქი
ალ-ფულა,ა,City,ქალაქი
ალ-ფუნაიტისი,ა,City,ქალაქი
ალ-ფუჯაირა,ა,City,ქალაქი
ალ-ფუჰაიჰილი,ა,City,ქალაქი
ალ-ქაბილი,ა,City,ქალაქი
ალ-ქასრა,ა,City,ქალაქი
ალ-ღუვაირია,ა,City,ქალაქი
ალ-ყასიმი,ა,City,ქალაქი
ალ-ყასრი,ა,City,ქალაქი
ალ-ყუბა,ა,City,ქალაქი
ალ-ყუვაირა,ა,City,ქალაქი
ალ-ყუვაისიმა,ა,City,ქალაქი
ალ-ყუტაინა,ა,City,ქალაქი
ალ-შაჯარა,ა,City,ქალაქი
ალ-შეიხ-მასქინი,ა,City,ქალაქი
ალ-შიჰრი,ა,City,ქალაქი
ალ-ხაბურა,ა,City,ქალაქი
ალ-ხალისი,ა,City,ქალაქი
ალ-ხარარა,ა,City,ქალაქი
ალ-ხილა,ა,City,ქალაქი
ალ-ხორი,ა,City,ქალაქი
ალ-ხუმსი,ა,City,ქალაქი
ალ-ჯადიდი,ა,City,ქალაქი
ალ-ჯალა,ა,City,ქალაქი
ალ-ჯაფრი,ა,City,ქალაქი
ალ-ჯიზა,ა,City,ქალაქი
ალ-ჯუბაიჰა,ა,City,ქალაქი
ალ-ჯუმეილია,ა,City,ქალაქი
ალ-ჯუნაინა,ა,City,ქალაქი
ალ-ჰავატა,ა,City,ქალაქი
ალ-ჰაი,ა,City,ქალაქი
ალ-ჰარითა,ა,City,ქალაქი
ალ-ჰასაჰისა,ა,City,ქალაქი
ალ-ჰილალია,ა,City,ქალაქი
ალ-ჰინდია,ა,City,ქალაქი
ალ-ჰირაქი,ა,City,ქალაქი
ალ-ჰუდეიდა,ა,City,ქალაქი
ალა,ა,Name,სახელი
ალა-არჩა,ა,River,მდინარე
ალაბუღა,ა,River,მდინარე
ალაგონი,ა,River,მდინარე
ალადა,ა,City,ქალაქი
ალადინი,ა,Film,ფილმი
ალავერდი,ა,City,ქალაქი
ალავერდობა,ა,Film,ფილმი
ალაზანი,ა,River,მდინარე
ალაზეა,ა,River,მდინარე
ალაიიარვი,ა,City,ქალაქი
ალაილი დადდა,ა,City,ქალაქი
ალაინი,ა,City,ქალაქი
ალაკანტე,ა,City,ქალაქი
ალაკეჰდარი დეე-შუ,ა,City,ქალაქი
ალალე,ა,Name,სახელი
ალამბრა,ა,City,ქალაქი
ალანდის კუნძულები,ა,Country,ქვეყანა
ალანია,ა,City,ქალაქი
ალანხე,ა,City,ქალაქი
ალაო,ა,Plant,მცენარე
ალარსასი,ა,City,ქალაქი
ალაუსი,ა,City,ქალაქი
ალაშანქოუ,ა,City,ქალაქი
ალაშარა,ა,City,ქალაქი
ალახუელა,ა,City,ქალაქი
ალახუელიტა,ა,City,ქალაქი
ალაჰაბადი,ა,City,ქალაქი
ალბა იულია,ა,City,ქალაქი
ალბა-იულია,ა,City,ქალაქი
ალბაიულია,ა,City,ქალაქი
ალბანეთი,ა,Country,ქვეყანა
ალბანეთის,ა,Film,ფილმი
ალბანეთის დიადი მეომარი,ა,Film,ფილმი
ალბანეთის დიადი მეომარი სკანდერბეგი,ა,Film,ფილმი
ალბანეთის რესპუბლიკა,ა,Country,ქვეყანა
ალბანი,ა,City,ქალაქი
ალბასეტე,ა,City,ქალაქი
ალბატროსი,ა,Animal,ცხოველი
ალბაჰა,ა,City,ქალაქი
ალბაჰლულია,ა,City,ქალაქი
ალბერობელო,ა,City,ქალაქი
ალბერტ თაუნი,ა,City,ქალაქი
ალბერტსლუნდი,ა,City,ქალაქი
ალბერტსლუნი,ა,City,ქალაქი
ალბინა,ა,City,ქალაქი
ალბიონი,ა,City,ქალაქი
ალბისრიდენი,ა,City,ქალაქი
ალბომის,ა,Film,ფილმი
ალბუკერკე,ა,City,ქალაქი
ალბულა,ა,River,მდინარე
ალბური,ა,City,ქალაქი
ალბუსეირა,ა,City,ქალაქი
ალბუფეირა,ა,City,ქალაქი
ალგეთი,ა,River,მდინარე
ალგორტა,ა,City,ქალაქი
ალდალია,ა,City,ქალაქი
ალდანი,ა,City,ქალაქი
ალდეპრეტე,ა,City,ქალაქი
ალდივანია,ა,City,ქალაქი
ალეთრიკო,ა,City,ქალაქი
ალეკო,ა,Name,სახელი
ალენი,ა,River,მდინარე
ალეპო,ა,City,ქალაქი
ალერტა,ა,City,ქალაქი
ალესანდრია,ა,City,ქალაქი
ალესილი,ა,Film,ფილმი
ალესილი დანა,ა,Film,ფილმი
ალესილი კეპები,ა,Film,ფილმი
ალეურა,ა,River,მდინარე
ალექსანდრა,ა,Name,სახელი
ალექსანდრე,ა,Name,სახელი
ალექსანდრია,ა,City,ქალაქი
ალექსანდრუპოლისი,ა,City,ქალაქი
ალექსი,ა,Name,სახელი
ალვერკა დუ რიბატეჟუ,ა,City,ქალაქი
ალვერკა-დუ-რიბატეჟუ,ა,City,ქალაქი
ალვერკადურიბატეჟუ,ა,City,ქალაქი
ალვის ხე,ა,Plant,მცენარე
